Count_Nuclei,Count_RO_PositiveNuclei,Count_h2AX,FileName_DAPI,FileName_Green,Group,ImageNumber,Math_PercentPositiveNuclei,Experiment
82,11,20,TwentyFive_3B__43_c1.tif,TwentyFive_3B__43_c0.tif,25mg,98,13.41463415,1
44,24,60,TwentyFive_3B__44_c1.tif,TwentyFive_3B__44_c0.tif,25mg,99,54.54545455,1
49,12,43,TwentyFive_3B__45_c1.tif,TwentyFive_3B__45_c0.tif,25mg,100,24.48979592,1
49,15,33,TwentyFive_3B__46_c1.tif,TwentyFive_3B__46_c0.tif,25mg,101,30.6122449,1
63,20,88,TwentyFive_3C_53_c1.tif,TwentyFive_3C_53_c0.tif,25mg,102,31.74603175,1
54,15,71,TwentyFive_3C_54_c1.tif,TwentyFive_3C_54_c0.tif,25mg,103,27.77777778,1
57,14,52,TwentyFive_3C_55_c1.tif,TwentyFive_3C_55_c0.tif,25mg,104,24.56140351,1
53,12,51,TwentyFive_3C_56_c1.tif,TwentyFive_3C_56_c0.tif,25mg,105,22.64150943,1
47,14,87,TwentyFive_3C_57_c1.tif,TwentyFive_3C_57_c0.tif,25mg,106,29.78723404,1
41,9,30,TwentyFive_3C_58_c1.tif,TwentyFive_3C_58_c0.tif,25mg,107,21.95121951,1
38,13,78,TwentyFive_3C_59_c1.tif,TwentyFive_3C_59_c0.tif,25mg,108,34.21052632,1
48,13,48,TwentyFive_3C_60_c1.tif,TwentyFive_3C_60_c0.tif,25mg,109,27.08333333,1
60,24,63,TwentyFive_3C_61_c1.tif,TwentyFive_3C_61_c0.tif,25mg,110,40,1
92,16,58,TwentyFive_3C_62_c1.tif,TwentyFive_3C_62_c0.tif,25mg,111,17.39130435,1
78,27,126,TwentyFive_3C_63_c1.tif,TwentyFive_3C_63_c0.tif,25mg,112,34.61538462,1
53,10,30,TwentyFive_3C_64_c1.tif,TwentyFive_3C_64_c0.tif,25mg,113,18.86792453,1
72,22,75,Fifty_4B_12_c1.tif,Fifty_4B_12_c0.tif,50mg,114,30.55555556,1
88,20,74,Fifty_4B_13_c1.tif,Fifty_4B_13_c0.tif,50mg,115,22.72727273,1
109,18,61,Fifty_4B_14_c1.tif,Fifty_4B_14_c0.tif,50mg,116,16.51376147,1
55,21,37,Fifty_4B_15_c1.tif,Fifty_4B_15_c0.tif,50mg,117,38.18181818,1
53,15,36,Fifty_4B_16_c1.tif,Fifty_4B_16_c0.tif,50mg,118,28.30188679,1
76,18,60,Fifty_4B_17_c1.tif,Fifty_4B_17_c0.tif,50mg,119,23.68421053,1
103,16,21,Fifty_4B_18_c1.tif,Fifty_4B_18_c0.tif,50mg,120,15.53398058,1
81,8,16,Fifty_4B_19_c1.tif,Fifty_4B_19_c0.tif,50mg,121,9.87654321,1
79,15,33,Fifty_4B_20_c1.tif,Fifty_4B_20_c0.tif,50mg,122,18.98734177,1
53,11,16,Fifty_4B_21_c1.tif,Fifty_4B_21_c0.tif,50mg,123,20.75471698,1
97,14,41,Fifty_4B_22_c1.tif,Fifty_4B_22_c0.tif,50mg,124,14.43298969,1
74,19,54,Fifty_4C_23_c1.tif,Fifty_4C_23_c0.tif,50mg,125,25.67567568,1
35,11,95,Fifty_4C_24_c1.tif,Fifty_4C_24_c0.tif,50mg,126,31.42857143,1
42,13,60,Fifty_4C_25_c1.tif,Fifty_4C_25_c0.tif,50mg,127,30.95238095,1
39,9,15,Fifty_4C_26_c1.tif,Fifty_4C_26_c0.tif,50mg,128,23.07692308,1
76,24,69,Fifty_4C_27_c1.tif,Fifty_4C_27_c0.tif,50mg,129,31.57894737,1
52,13,50,Fifty_4C_28_c1.tif,Fifty_4C_28_c0.tif,50mg,130,25,1
49,11,44,Fifty_4C_29_c1.tif,Fifty_4C_29_c0.tif,50mg,131,22.44897959,1
36,10,80,Fifty_4C_30_c1.tif,Fifty_4C_30_c0.tif,50mg,132,27.77777778,1
49,2,7,Fifty_4C_31_c1.tif,Fifty_4C_31_c0.tif,50mg,133,4.081632653,1
35,10,44,Fifty_4C_32_c1.tif,Fifty_4C_32_c0.tif,50mg,134,28.57142857,1
49,14,53,Fifty_4C_33_c1.tif,Fifty_4C_33_c0.tif,50mg,135,28.57142857,1
15,1,8,E21_PGVG_10_DAPI.TIF,E21_PGVG_10_FITC.TIF,PGVG,1,6.666666667,2
31,8,35,E21_PGVG_12_DAPI.TIF,E21_PGVG_12_FITC.TIF,PGVG,3,25.80645161,2
23,6,27,E21_PGVG_13_DAPI.TIF,E21_PGVG_13_FITC.TIF,PGVG,4,26.08695652,2
21,8,57,E21_PGVG_2_DAPI.TIF,E21_PGVG_2_FITC.TIF,PGVG,7,38.0952381,2
20,8,82,E21_PGVG_3_DAPI.TIF,E21_PGVG_3_FITC.TIF,PGVG,8,40,2
16,8,16,E21_PGVG_8_DAPI.TIF,E21_PGVG_8_FITC.TIF,PGVG,12,50,2
44,14,61,E22_PGVG_144_DAPI.TIF,E22_PGVG_144_FITC.TIF,PGVG,14,31.81818182,3
54,12,53,E22_PGVG_145_DAPI.TIF,E22_PGVG_145_FITC.TIF,PGVG,15,22.22222222,3
33,5,11,E22_PGVG_146_DAPI.TIF,E22_PGVG_146_FITC.TIF,PGVG,16,15.15151515,3
39,10,21,E22_PGVG_147_DAPI.TIF,E22_PGVG_147_FITC.TIF,PGVG,17,25.64102564,3
38,2,41,E22_PGVG_148_DAPI.TIF,E22_PGVG_148_FITC.TIF,PGVG,18,5.263157895,3
34,8,50,E22_PGVG_149_DAPI.TIF,E22_PGVG_149_FITC.TIF,PGVG,19,23.52941176,3
31,9,43,E22_PGVG_150_DAPI.TIF,E22_PGVG_150_FITC.TIF,PGVG,20,29.03225806,3
61,18,78,E22_PGVG_151_DAPI.TIF,E22_PGVG_151_FITC.TIF,PGVG,21,29.50819672,3
