Count_Nuclei,Count_RO_PositiveNuclei,Count_h2AX,Group,FileName_DAPI,FileName_Green,ImageNumber,Math_PercentPositiveNuclei,Mean_Nuclei_Children_RO_PositiveNuclei_Count,Mean_Nuclei_Parent_h2AX,Mean_RO_PositiveNuclei_Location_Center_X,Mean_RO_PositiveNuclei_Location_Center_Y,Mean_RO_PositiveNuclei_Location_Center_Z,Mean_RO_PositiveNuclei_Parent_Nuclei,Mean_h2AX_Children_Nuclei_Count,Mean_h2AX_Intensity_IntegratedIntensityEdge_FilteredMaskedGreen,Mean_h2AX_Intensity_IntegratedIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_LowerQuartileIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_MADIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_MassDisplacement_FilteredMaskedGreen,Mean_h2AX_Intensity_MaxIntensityEdge_FilteredMaskedGreen,Mean_h2AX_Intensity_MaxIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_MeanIntensityEdge_FilteredMaskedGreen,Mean_h2AX_Intensity_MeanIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_MedianIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_MinIntensityEdge_FilteredMaskedGreen,Mean_h2AX_Intensity_MinIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_StdIntensityEdge_FilteredMaskedGreen,Mean_h2AX_Intensity_StdIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_UpperQuartileIntensity_FilteredMaskedGreen,Mean_h2AX_Location_CenterMassIntensity_X_FilteredMaskedGreen,Mean_h2AX_Location_CenterMassIntensity_Y_FilteredMaskedGreen,Mean_h2AX_Location_CenterMassIntensity_Z_FilteredMaskedGreen,Mean_h2AX_Location_Center_X,Mean_h2AX_Location_Center_Y,Mean_h2AX_Location_Center_Z,Mean_h2AX_Location_MaxIntensity_X_FilteredMaskedGreen,Mean_h2AX_Location_MaxIntensity_Y_FilteredMaskedGreen,Mean_h2AX_Location_MaxIntensity_Z_FilteredMaskedGreen,Mean_h2AX_Mean_Nuclei_Location_Center_X,Mean_h2AX_Mean_Nuclei_Location_Center_Y,Mean_h2AX_Mean_Nuclei_Location_Center_Z,Mean_h2AX_Mean_Nuclei_Number_Object_Number,Threshold_FinalThreshold_Nuclei,Threshold_FinalThreshold_h2AX,Threshold_OrigThreshold_Nuclei,Threshold_OrigThreshold_h2AX,Threshold_SumOfEntropies_Nuclei,Threshold_SumOfEntropies_h2AX,Threshold_WeightedVariance_Nuclei,Threshold_WeightedVariance_h2AX
35,10,28,PGVG,E22_PGVG_158_DAPI.TIF,E22_PGVG_158_FITC.TIF,28,28.57142857,0.285714286,3.2,554.0262737,580.651059,0,17.8,0.357142857,0.798138395,1.622707592,0.06589118,0.022378446,0.084466649,0.10231174,0.153289955,0.072342496,0.088854301,0.086891409,0.04853459,0.04853459,0.016519429,0.029929188,0.113033383,641.7620638,660.5196782,0,641.7602726,660.5092078,0,641.8214286,660.5714286,0,554.0262737,580.651059,0,17.8,0.054305606,0.05,0.054305606,0.05,-12.33611854,-12.38630164,0.054640848,2.466317697
20,5,12,PGVG,E22_PGVG_24_DAPI.TIF,E22_PGVG_24_FITC.TIF,38,25,0.25,1.4,640.7431782,464.4967634,0,10.6,0.416666667,0.816907005,2.091264208,0.066777295,0.031804889,0.106221304,0.111696041,0.184069585,0.073467296,0.100893502,0.094753436,0.04750642,0.04750642,0.019985947,0.042741792,0.137580424,573.884982,519.4985435,0,573.905406,519.5041734,0,573.8333333,519.5833333,0,640.7431782,464.4967634,0,10.6,0.098287113,0.05,0.098287113,0.05,-12.25517962,-12.65537445,0.043736947,2.515873352
30,12,96,50mg,E23_NIC3_25_DAPI.TIF,E23_NIC3_25_FITC.TIF,39,40,0.4,23.56666667,678.0487579,570.361709,0,15,0.125,0.784749244,1.525408818,0.063136748,0.021742515,0.119665815,0.104830115,0.14332863,0.069481511,0.084212111,0.08134807,0.041419343,0.041355128,0.018544235,0.029543262,0.110087644,641.9258416,461.7437235,0,641.9125698,461.7379994,0,641.9791667,461.6979167,0,678.0487579,570.361709,0,15,0.061939109,0.05,0.061939109,0.05,-12.17304659,-12.4812894,0.045475936,2.143412005
39,9,35,50mg,E23_NIC3_26_DAPI.TIF,E23_NIC3_26_FITC.TIF,40,23.07692308,0.230769231,2.692307692,575.3267367,533.238683,0,19,0.257142857,0.755553516,1.555909263,0.065755048,0.025597663,0.106701527,0.112081442,0.162417025,0.07235512,0.090985496,0.087313865,0.041298759,0.041298759,0.020847262,0.035078835,0.121669773,420.5373379,683.4045345,0,420.5366247,683.3944983,0,420.4285714,683.5428571,0,575.3267367,533.238683,0,19,0.04997097,0.05,0.04997097,0.05,-12.31635419,-12.54507276,0.053368158,1.643187805
54,10,63,50mg,E23_NIC3_27_DAPI.TIF,E23_NIC3_27_FITC.TIF,41,18.51851852,0.185185185,6.462962963,590.234704,435.868821,0,21.7,0.158730159,0.832788006,1.826938959,0.067616845,0.022412355,0.094839599,0.107025328,0.149997638,0.073456547,0.088932719,0.087135798,0.04518608,0.04518608,0.018452251,0.029544235,0.114365886,445.7267455,348.13539,0,445.7254383,348.1296929,0,445.6984127,348.1269841,0,590.234704,435.868821,0,21.7,0.051933661,0.05,0.051933661,0.05,-12.36943379,-12.63087463,0.07113711,2.42611881
21,7,36,50mg,E23_NIC3_28_DAPI.TIF,E23_NIC3_28_FITC.TIF,42,33.33333333,0.333333333,10.19047619,702.6282791,440.9837242,0,10.14285714,0.194444444,0.76744064,1.509083353,0.06397472,0.022588438,0.117332868,0.103791866,0.15786306,0.070470506,0.087199695,0.082530963,0.042526894,0.042526894,0.01866275,0.033026738,0.114994954,363.95446,135.6096064,0,363.9383024,135.6364449,0,363.9444444,135.7222222,0,702.6282791,440.9837242,0,10.14285714,0.045501925,0.05,0.045501925,0.05,-12.29535257,-12.56196883,0.029888004,2.284944598
28,15,138,50mg,E23_NIC3_29_DAPI.TIF,E23_NIC3_29_FITC.TIF,43,53.57142857,0.535714286,28.85714286,622.1506565,613.0548369,0,15.73333333,0.108695652,0.978835292,2.405272104,0.063499534,0.027988362,0.130989908,0.112221924,0.171744051,0.069291808,0.091182835,0.087857689,0.031477368,0.031316375,0.0226206,0.038120437,0.122895388,567.302529,720.2224107,0,567.3048884,720.2201274,0,567.326087,720.2463768,0,622.1506565,613.0548369,0,15.73333333,0.074297905,0.05,0.074297905,0.05,-12.24164687,-13.00094591,0.047482208,2.77770979
21,9,55,50mg,E23_NIC3_31_DAPI.TIF,E23_NIC3_31_FITC.TIF,45,42.85714286,0.428571429,10.57142857,643.7218491,707.358199,0,12.88888889,0.163636364,0.961441546,2.088721464,0.066787904,0.019727418,0.126107474,0.101162323,0.146392282,0.070713495,0.086106098,0.083918515,0.040225003,0.040140662,0.017661482,0.028413075,0.109028763,479.8880159,726.9700992,0,479.9115574,726.9801976,0,479.8181818,726.9272727,0,643.7218491,707.358199,0,12.88888889,0.06816861,0.05,0.06816861,0.05,-12.30227838,-12.73939936,0.031845889,3.04220766
21,10,92,50mg,E23_NIC3_32_DAPI.TIF,E23_NIC3_32_FITC.TIF,46,47.61904762,0.476190476,27.23809524,732.9829446,514.1981495,0,11,0.108695652,0.908098899,2.095433919,0.066385704,0.027592619,0.13431319,0.1114174,0.171935343,0.072650603,0.093906326,0.090119451,0.039857228,0.039812115,0.021060138,0.037313981,0.125067089,562.7294568,363.9274526,0,562.7252442,363.9342038,0,562.6956522,363.8043478,0,732.9829446,514.1981495,0,11,0.074763842,0.05,0.074763842,0.05,-12.26152301,-12.85629124,0.036058924,2.7449415
15,8,58,50mg,E23_NIC3_33_DAPI.TIF,E23_NIC3_33_FITC.TIF,47,53.33333333,0.533333333,16.53333333,764.6017107,473.9286268,0,9.125,0.137931034,0.877241177,1.681438988,0.06661826,0.020675974,0.127864799,0.105740814,0.140487185,0.072894239,0.085930662,0.084802804,0.044323776,0.044303781,0.018248965,0.027598184,0.10916778,815.1521897,474.0893393,0,815.1535309,474.0855506,0,815.2758621,474.137931,0,764.6017107,473.9286268,0,9.125,0.061358616,0.05,0.061358616,0.05,-12.39138641,-12.66771773,0.028180139,3.558369142
